iter	Passed	Remaining
707	1917	3499
708	1919	3495
709	1921	3490
710	1922	3485
711	1924	3481
712	1929	3482
713	1934	3483
714	1936	3480
715	1940	3479
716	1943	3478
717	1948	3478
718	1950	3475
719	1964	3491
720	1968	3491
721	1970	3488
722	1972	3484
723	1975	3482
724	1983	3487
725	1985	3483
726	1992	3488
727	1996	3488
728	2001	3490
729	2009	3496
730	2014	3496
731	2023	3504
732	2026	3503
733	2035	3511
734	2037	3507
735	2039	3503
736	2041	3498
737	2043	3494
738	2048	3495
739	2051	3493
740	2056	3493
741	2057	3489
742	2061	3487
743	2072	3498
744	2074	3493
745	2076	3490
746	2081	3491
747	2085	3491
748	2091	3493
749	2100	3500
750	2109	3508
751	2116	3511
752	2125	3519
753	2128	3517
754	2131	3514
755	2135	3514
756	2146	3524
757	2150	3524
758	2155	3523
759	2157	3520
760	2161	3519
761	2163	3515
762	2165	3510
763	2167	3506
764	2168	3501
765	2170	3497
766	2175	3497
767	2177	3493
768	2179	3488
769	2181	3484
770	2185	3484
771	2191	3486
772	2193	3482
773	2198	3482
774	2202	3481
775	2204	3476
776	2208	3476
777	2210	3472
778	2212	3467
779	2214	3463
780	2215	3458
781	2221	3460
782	2223	3455
783	2235	3467
784	2244	3473
785	2248	3472
786	2252	3472
787	2256	3470
788	2258	3466
789	2261	3464
790	2271	3472
791	2273	3468
792	2277	3465
793	2279	3462
794	2284	3462
795	2286	3458
796	2288	3454
797	2290	3449
798	2294	3448
799	2299	3449
800	2302	3446
801	2305	3443
802	2314	3450
803	2317	3446
804	2318	3442
805	2322	3440
806	2325	3437
807	2327	3433
808	2329	3429
809	2331	3424
810	2333	3420
811	2336	3418
812	2345	3424
813	2350	3425
814	2353	3422
815	2355	3417
816	2357	3413
817	2360	3410
818	2364	3409
819	2365	3404
820	2368	3401
821	2370	3397
822	2372	3392
823	2373	3388
824	2377	3385
825	2380	3383
826	2382	3379
827	2386	3378
828	2392	3380
829	2394	3375
830	2396	3371
831	2398	3366
832	2400	3362
833	2403	3360
834	2407	3358
835	2408	3354
836	2410	3349
837	2412	3345
838	2416	3344
839	2418	3339
840	2420	3335
841	2421	3330
842	2423	3326
843	2425	3322
844	2430	3322
845	2434	3320
846	2436	3316
847	2437	3311
848	2442	3311
849	2444	3307
850	2446	3303
851	2448	3299
852	2450	3294
853	2457	3297
854	2460	3295
855	2462	3291
856	2468	3292
857	2470	3288
858	2472	3284
859	2474	3279
860	2475	3275
861	2479	3273
862	2482	3270
863	2484	3267
864	2486	3262
865	2488	3258
866	2492	3257
867	2494	3253
868	2496	3249
869	2499	3246
870	2502	3243
871	2505	3240
872	2507	3237
873	2509	3232
874	2511	3228
875	2513	3224
876	2516	3222
877	2519	3219
878	2521	3215
879	2523	3212
880	2525	3207
881	2529	3206
882	2532	3203
883	2534	3199
884	2536	3195
885	2538	3191
886	2540	3187
887	2542	3183
888	2546	3181
889	2549	3180
890	2552	3177
891	2554	3173
892	2559	3172
893	2561	3169
894	2564	3165
895	2566	3161
896	2567	3157
897	2569	3153
898	2572	3150
899	2579	3152
900	2581	3148
901	2582	3144
902	2584	3139
903	2586	3135
904	2589	3133
905	2592	3129
906	2594	3126
907	2596	3122
908	2597	3118
909	2599	3113
910	2601	3109
911	2604	3106
912	2606	3103
913	2608	3099
914	2610	3095
915	2611	3090
916	2614	3087
917	2617	3084
918	2619	3081
919	2622	3079
920	2624	3074
921	2626	3070
922	2629	3068
923	2631	3064
924	2633	3060
925	2634	3056
926	2636	3051
927	2637	3047
928	2639	3043
929	2642	3040
930	2647	3039
931	2649	3035
932	2651	3031
933	2652	3027
934	2655	3024
935	2657	3020
936	2659	3017
937	2661	3013
938	2663	3009
939	2665	3005
940	2674	3009
941	2676	3005
942	2677	3001
943	2680	2998
944	2682	2995
945	2686	2993
946	2688	2989
947	2690	2985
948	2692	2981
949	2700	2985
950	2702	2981
951	2704	2977
952	2706	2972
953	2709	2970
954	2712	2968
955	2714	2964
956	2716	2960
957	2719	2957
958	2723	2956
959	2725	2952
960	2727	2948
961	2729	2944
962	2730	2940
963	2732	2936
964	2739	2938
965	2741	2934
966	2743	2930
967	2744	2926
968	2746	2921
969	2750	2921
970	2754	2918
971	2757	2916
972	2758	2911
973	2762	2910
974	2764	2906
975	2766	2902
976	2767	2898
977	2769	2893
978	2770	2889
979	2772	2885
980	2778	2886
981	2780	2882
982	2782	2878
983	2784	2875
984	2786	2871
985	2788	2867
986	2791	2865
987	2793	2861
988	2795	2857
989	2796	2853
990	2798	2849
991	2806	2851
992	2808	2847
993	2809	2843
994	2811	2839
995	2815	2837
996	2817	2834
997	2819	2830
998	2821	2826
999	2822	2822
1000	2824	2819
1001	2828	2817
1002	2830	2813
1003	2832	2809
1004	2834	2806
1005	2836	2802
1006	2838	2798
1007	2840	2795
1008	2842	2791
1009	2844	2787
1010	2847	2785
1011	2848	2781
1012	2851	2777
1013	2857	2778
1014	2859	2774
1015	2861	2771
1016	2862	2767
1017	2864	2763
1018	2867	2760
1019	2870	2757
1020	2872	2754
1021	2874	2750
1022	2875	2746
1023	2877	2742
1024	2879	2739
1025	2882	2736
1026	2884	2732
1027	2885	2728
1028	2887	2724
1029	2889	2720
1030	2890	2716
1031	2897	2717
1032	2899	2714
1033	2901	2710
1034	2902	2706
1035	2904	2702
1036	2906	2698
1037	2909	2696
1038	2911	2693
1039	2913	2689
1040	2915	2685
